GWS1,GWS2,GWS3,GWS4,GWS5,GWS6,GWS7,GWS8,GWS9,UWES1,UWES2,UWES3,UWES4,UWES5,UWES6,UWES7,UWES8,UWES9,MBI1,MBI2,MBI3,MBI4,MBI5,MBI6,MBI7,MBI8,MBI9,MBI10,MBI11,MBI12,MBI13,MBI14,MBI15,MBI16,GHQ1,GHQ2,GHQ3,GHQ4,GHQ5,GHQ6,GHQ7,GHQ8,GHQ9,GHQ10,GHQ11,GHQ12,Country,Age,Gender
2,1,2,1,1,1,1,1,1,5,5,5,5,5,5,5,4,4,1,1,1,1,1,1,1,1,1,1,4,3,2,1,1,1,1,1,2,2,1,4,1,1,1,1,1,1,2,35,1
3,3,2,3,3,4,4,3,3,4,4,4,4,4,5,5,5,5,2,2,2,1,1,3,3,1,2,2,3,3,3,3,3,3,1,2,1,1,2,1,2,2,2,2,1,1,2,35,0
2,2,2,2,2,3,4,2,3,5,5,6,6,5,6,6,5,4,1,1,2,1,1,1,1,1,1,1,3,3,3,2,3,2,1,2,1,1,3,2,2,1,2,1,1,2,2,22,0
2,2,2,3,3,3,1,3,3,4,4,4,4,3,4,4,4,4,1,1,1,1,1,2,1,1,1,1,4,4,4,4,4,4,1,2,2,2,2,1,2,2,1,1,1,2,2,38,1
1,1,1,2,2,1,1,1,1,6,6,6,6,5,5,6,6,3,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,2,1,1,1,1,4,1,2,1,1,1,1,2,20,0
2,2,2,2,2,3,3,2,1,3,3,4,4,4,4,4,4,4,1,1,3,2,1,2,2,2,3,2,4,3,3,3,4,4,2,1,1,1,2,1,2,2,1,1,1,1,2,25,1
1,1,1,1,1,1,2,1,2,3,4,6,6,5,5,6,5,5,1,1,1,1,1,2,2,1,1,1,2,2,2,3,3,2,2,1,1,2,1,1,2,2,1,1,1,2,2,58,1
3,3,2,2,2,1,2,2,1,5,5,5,5,6,4,7,5,5,1,1,5,2,1,2,3,2,2,2,2,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,26,0
2,1,1,1,1,1,1,1,1,5,5,4,3,5,5,5,4,4,3,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,28,1
2,2,2,2,2,2,2,1,1,5,5,6,6,5,6,6,7,3,1,2,6,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,1,3,2,1,1,1,1,2,34,0
5,4,1,1,5,5,4,5,5,3,2,3,3,1,3,2,2,1,4,5,7,5,5,4,4,7,7,7,4,4,3,1,3,3,2,1,2,2,3,3,2,2,4,2,1,2,2,40,0
2,1,2,2,2,1,2,1,2,5,5,5,6,5,5,6,5,5,1,1,1,1,1,1,1,1,1,1,3,2,3,3,2,3,2,2,1,1,2,1,2,2,1,1,1,1,2,35,0
2,2,2,2,3,3,2,2,2,3,4,4,4,4,4,5,4,4,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,4,2,2,1,2,2,2,1,2,1,1,1,2,2,49,0
