"A1","A2","A3","A4","A5","N1","N2","N3","N4","N5","gender","education","age"
3,3,4,3,1,1,2,4,3,5,1,1,30
5,2,2,4,3,1,3,3,5,1,2,3,30
6,4,3,6,3,5,6,4,5,5,2,1,16
6,5,5,6,6,3,4,1,1,1,2,4,45
6,4,6,5,6,6,6,6,6,6,2,2,51
4,3,4,3,5,4,4,4,4,4,2,2,19
4,4,3,1,3,4,4,3,4,4,2,4,28
5,5,5,6,6,1,4,3,4,4,2,3,25
6,6,6,6,6,3,5,2,2,2,2,2,32
5,4,6,6,6,4,4,4,4,5,2,4,24
3,6,6,6,5,6,6,3,1,1,1,2,18
5,4,4,6,4,3,2,1,1,1,1,3,21
6,4,4,4,4,2,3,3,4,3,2,5,40
6,5,5,6,5,1,2,2,2,4,2,5,33
4,4,5,6,5,5,6,2,2,3,2,4,32
6,5,4,6,4,4,5,4,3,3,2,5,23
3,4,3,4,2,5,5,4,5,5,1,3,26
3,5,5,6,4,4,4,3,3,5,2,3,21
6,4,3,5,5,2,4,4,5,3,1,5,26
6,6,6,6,6,1,3,3,1,1,2,4,45
2,6,5,6,5,5,6,6,6,6,2,3,20
5,5,5,6,5,2,2,4,2,2,2,2,26
5,5,5,6,5,4,4,4,3,3,2,3,20
5,4,5,5,5,1,1,1,1,1,1,2,54
5,4,4,3,5,1,4,4,3,2,1,4,29
3,6,6,6,5,4,5,4,4,5,1,3,18
5,6,4,1,5,2,5,3,2,3,2,2,57
5,1,3,1,3,4,3,2,3,3,1,3,21
5,4,3,6,5,3,4,4,4,5,2,5,23
6,6,4,6,5,3,3,1,2,5,2,3,20
5,6,4,5,4,4,3,2,4,2,1,3,20
5,4,5,4,4,3,4,1,1,1,2,4,40
5,4,4,3,4,6,6,3,6,5,2,2,30
5,5,5,6,5,2,2,3,2,1,2,4,30
4,5,5,2,6,5,4,5,1,2,2,3,21
1,1,1,6,1,1,1,1,1,1,1,3,23
6,5,5,6,5,1,1,1,1,3,2,5,56
6,5,6,4,6,4,5,3,4,4,2,5,29
2,5,4,6,4,3,4,5,5,2,2,3,39
6,6,6,6,5,2,2,2,4,2,2,3,19
3,4,5,5,5,4,4,5,4,1,1,4,22
6,6,5,5,6,2,4,2,2,2,2,5,42
5,4,6,5,5,4,4,4,4,2,2,3,25
6,6,6,5,6,3,4,4,2,5,2,3,18
5,4,3,5,4,3,5,5,5,5,2,3,18
6,6,6,5,6,1,2,1,3,2,1,2,34
5,6,3,6,2,1,3,3,3,6,2,5,20
5,6,6,6,6,3,2,3,1,3,2,3,26
5,3,3,5,5,5,4,3,2,4,2,3,27
6,6,6,1,6,2,3,1,2,1,2,3,20
6,5,3,4,4,6,6,6,6,6,2,3,20
5,6,5,6,5,1,4,4,1,2,2,3,17
6,5,2,5,3,3,3,5,4,5,2,5,30
3,4,4,2,5,4,4,4,3,2,2,5,55
5,4,1,1,5,4,4,2,2,4,1,3,28
3,6,5,6,6,2,3,2,2,2,2,3,19
5,4,5,4,5,2,3,6,4,6,2,5,29
2,5,2,2,4,6,6,5,6,4,1,5,31
5,5,5,6,6,4,5,3,3,4,2,5,23
5,4,4,4,3,3,3,5,3,2,2,5,51
5,5,6,6,2,2,5,6,2,6,1,2,42
5,5,5,5,5,1,1,1,1,1,1,4,26
3,6,2,2,4,5,5,6,4,2,2,5,28
6,6,5,1,5,2,4,4,5,2,2,4,24
5,6,5,6,6,2,5,5,3,5,2,3,25
6,6,6,6,4,2,2,2,1,2,2,3,28
3,6,5,6,6,2,2,6,3,1,2,3,23
6,5,5,6,5,2,5,2,2,3,1,4,35
5,4,4,5,4,1,2,1,1,2,1,3,20
5,6,6,6,6,1,1,2,2,1,2,2,51
6,6,6,6,6,3,4,2,3,3,2,3,42
5,5,5,5,4,4,5,5,5,4,2,5,60
6,6,6,3,6,2,5,4,6,1,2,5,48
6,4,4,2,2,5,6,6,5,6,2,5,33
4,4,4,3,4,5,4,2,2,4,2,5,27
6,6,4,6,4,4,4,4,4,5,1,5,29
